epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.0478,2.34049,2.06223,0.00455,0.46473,0.6682,0.52817,0.19887,2.36515,1.35056,0.00416,0.000560909,0.000560909,0.000560909
43,51.1586,2.23384,1.90264,0.00417,0.46731,0.67881,0.55017,0.20749,2.37071,1.27834,0.00444,0.000555833,0.000555833,0.000555833
44,52.2795,2.3024,1.86097,0.00464,0.49133,0.67248,0.56131,0.20509,2.40348,1.27782,0.00471,0.000550758,0.000550758,0.000550758
45,53.5155,2.35443,1.87001,0.00474,0.50286,0.713,0.56131,0.20565,2.40867,1.29012,0.00465,0.000545682,0.000545682,0.000545682
46,54.5933,2.27841,1.95401,0.00472,0.44796,0.66827,0.506,0.1923,2.45158,1.31482,0.00449,0.000540607,0.000540607,0.000540607
47,55.741,2.2914,1.97243,0.00467,0.4932,0.68322,0.52203,0.194,2.39968,1.33441,0.00476,0.000535532,0.000535532,0.000535532
48,56.8342,2.23847,1.84118,0.00445,0.5249,0.7046,0.58335,0.21183,2.34436,1.273,0.00468,0.000530456,0.000530456,0.000530456
49,57.9479,2.29349,1.87624,0.00475,0.52174,0.71187,0.60385,0.21699,2.34991,1.24214,0.00462,0.000525381,0.000525381,0.000525381
50,59.0621,2.187,1.80658,0.00444,0.50115,0.73033,0.59125,0.21732,2.34937,1.23156,0.00457,0.000520305,0.000520305,0.000520305
51,60.3326,2.23393,1.88014,0.00411,0.54864,0.67458,0.62773,0.22724,2.36764,1.2157,0.00456,0.00051523,0.00051523,0.00051523
52,61.4263,2.29675,1.81738,0.00404,0.52722,0.68955,0.61644,0.22088,2.37758,1.20442,0.0044,0.000510155,0.000510155,0.000510155
53,62.5362,2.24652,1.76577,0.00418,0.52405,0.70732,0.61191,0.22244,2.36912,1.16445,0.00424,0.000505079,0.000505079,0.000505079
54,63.6627,2.24872,1.81994,0.0043,0.52919,0.73322,0.62049,0.22316,2.35793,1.17927,0.0043,0.000500004,0.000500004,0.000500004
55,64.8466,2.25491,1.77303,0.00453,0.51007,0.69883,0.61848,0.21694,2.37094,1.22234,0.00502,0.000494928,0.000494928,0.000494928
56,65.9975,2.28258,1.88289,0.0047,0.50114,0.71011,0.62802,0.22038,2.3788,1.2314,0.00475,0.000489853,0.000489853,0.000489853
57,67.1792,2.2203,1.76162,0.00447,0.49722,0.6978,0.62166,0.22243,2.34629,1.2297,0.00429,0.000484778,0.000484778,0.000484778
58,68.3135,2.20594,1.8006,0.00466,0.52226,0.65794,0.62611,0.22558,2.34702,1.22822,0.00404,0.000479702,0.000479702,0.000479702
59,69.4383,2.19365,1.70156,0.00409,0.57747,0.66636,0.66162,0.23723,2.31048,1.22455,0.00421,0.000474627,0.000474627,0.000474627
60,70.6002,2.22774,1.68925,0.00439,0.56865,0.66963,0.65838,0.237,2.27382,1.2316,0.00454,0.000469551,0.000469551,0.000469551
61,71.7311,2.20794,1.71742,0.00435,0.57997,0.66895,0.65068,0.2393,2.26223,1.2142,0.00445,0.000464476,0.000464476,0.000464476
62,72.9316,2.21127,1.65649,0.0041,0.58424,0.6792,0.65867,0.25058,2.20282,1.20193,0.00407,0.000459401,0.000459401,0.000459401
63,74.0501,2.16499,1.59298,0.00364,0.65974,0.68866,0.72559,0.26201,2.22622,1.14752,0.00393,0.000454325,0.000454325,0.000454325
64,75.1486,2.13761,1.70783,0.00403,0.65971,0.71522,0.74726,0.267,2.23507,1.13296,0.00408,0.00044925,0.00044925,0.00044925
65,76.253,2.1988,1.60621,0.00413,0.6482,0.73466,0.72611,0.25606,2.26422,1.13568,0.00432,0.000444174,0.000444174,0.000444174
66,77.3554,2.17868,1.64487,0.00411,0.65495,0.72018,0.70957,0.26072,2.28939,1.12586,0.00449,0.000439099,0.000439099,0.000439099
67,78.5091,2.25171,1.6539,0.00401,0.68649,0.72168,0.74911,0.26731,2.25972,1.09147,0.0041,0.000434024,0.000434024,0.000434024
68,79.7329,2.20147,1.60368,0.00421,0.62647,0.71891,0.71024,0.25999,2.31336,1.08801,0.00411,0.000428948,0.000428948,0.000428948
69,80.8067,2.2647,1.6348,0.00422,0.60429,0.6678,0.66483,0.25238,2.31104,1.12211,0.00412,0.000423873,0.000423873,0.000423873
70,81.913,2.22619,1.66772,0.00383,0.56859,0.72951,0.6707,0.25427,2.31293,1.09599,0.00428,0.000418797,0.000418797,0.000418797
71,83.1082,2.20038,1.63457,0.00398,0.63345,0.69474,0.69386,0.26305,2.24654,1.12331,0.00415,0.000413722,0.000413722,0.000413722
72,84.2658,2.15875,1.49346,0.00371,0.64303,0.71295,0.69951,0.26507,2.21378,1.12001,0.00399,0.000408647,0.000408647,0.000408647
73,85.3446,2.16279,1.55646,0.00398,0.65118,0.71491,0.69948,0.26843,2.21315,1.10872,0.0039,0.000403571,0.000403571,0.000403571
74,86.4918,2.18527,1.53378,0.00397,0.67149,0.7149,0.7096,0.26788,2.2258,1.08605,0.00402,0.000398496,0.000398496,0.000398496
75,87.718,2.11806,1.60427,0.00416,0.68744,0.72411,0.72543,0.27048,2.26005,1.07086,0.00431,0.00039342,0.00039342,0.00039342
76,88.8321,2.15253,1.533,0.00408,0.69261,0.73943,0.76232,0.2809,2.2128,1.06405,0.00396,0.000388345,0.000388345,0.000388345
77,89.9896,2.0396,1.56999,0.00415,0.67141,0.75685,0.76093,0.2811,2.20636,1.04503,0.00379,0.00038327,0.00038327,0.00038327
78,91.0819,2.13393,1.53855,0.00368,0.66908,0.75046,0.75179,0.28319,2.212,1.02523,0.00378,0.000378194,0.000378194,0.000378194
79,92.2133,2.14855,1.4752,0.00358,0.6926,0.75919,0.77069,0.28136,2.22697,1.01451,0.00398,0.000373119,0.000373119,0.000373119
80,93.4651,2.05854,1.52525,0.00405,0.68725,0.73375,0.76544,0.28188,2.22319,1.03444,0.00396,0.000368043,0.000368043,0.000368043
81,94.592,2.17275,1.57362,0.00418,0.69883,0.74127,0.77523,0.28338,2.22149,1.01036,0.00386,0.000362968,0.000362968,0.000362968
82,95.7204,2.14331,1.42936,0.00358,0.70794,0.76648,0.77898,0.28606,2.223,0.99038,0.00379,0.000357893,0.000357893,0.000357893
83,96.8526,2.05987,1.44847,0.00357,0.6729,0.75659,0.77615,0.29439,2.23279,0.99155,0.00392,0.000352817,0.000352817,0.000352817
84,97.9588,2.10809,1.41164,0.00389,0.67911,0.76643,0.7743,0.29581,2.23003,1.00476,0.00392,0.000347742,0.000347742,0.000347742
85,99.1454,2.1171,1.46994,0.0041,0.74341,0.73456,0.77367,0.29212,2.23372,0.98652,0.00387,0.000342666,0.000342666,0.000342666
86,100.283,2.0755,1.5105,0.00418,0.77755,0.75995,0.78401,0.29608,2.22222,0.98499,0.00386,0.000337591,0.000337591,0.000337591
87,101.456,2.06322,1.47103,0.00401,0.78429,0.73147,0.77993,0.30069,2.18879,0.96632,0.00387,0.000332516,0.000332516,0.000332516
88,102.751,2.06812,1.6349,0.00403,0.77715,0.7298,0.7613,0.29339,2.17514,0.99482,0.00397,0.00032744,0.00032744,0.00032744
89,103.844,2.14329,1.42596,0.00383,0.79728,0.74464,0.79396,0.30055,2.19143,0.9851,0.00407,0.000322365,0.000322365,0.000322365
90,104.868,2.05626,1.41614,0.00385,0.7989,0.7479,0.81387,0.29936,2.1903,0.98887,0.00406,0.000317289,0.000317289,0.000317289
91,105.921,2.13385,1.40639,0.00362,0.76419,0.76458,0.78559,0.29624,2.18919,0.98023,0.00387,0.000312214,0.000312214,0.000312214
92,106.983,2.0943,1.39285,0.00392,0.73021,0.74253,0.77682,0.29692,2.20097,0.97663,0.00383,0.000307139,0.000307139,0.000307139
93,108.018,2.1487,1.42105,0.00366,0.73829,0.75582,0.78205,0.29344,2.22947,0.94991,0.00386,0.000302063,0.000302063,0.000302063
94,109.045,2.10755,1.36124,0.00382,0.73933,0.78439,0.79261,0.29876,2.22515,0.94515,0.00386,0.000296988,0.000296988,0.000296988
95,110.191,2.15652,1.40142,0.00374,0.76983,0.76301,0.78521,0.29536,2.2246,0.9505,0.00388,0.000291912,0.000291912,0.000291912
96,111.214,2.08828,1.37994,0.00381,0.77509,0.77514,0.80113,0.29449,2.22666,0.95796,0.00398,0.000286837,0.000286837,0.000286837
97,112.248,2.00018,1.47507,0.00423,0.77086,0.76081,0.79046,0.29595,2.2382,0.95661,0.00401,0.000281762,0.000281762,0.000281762
98,113.275,2.14688,1.43669,0.00382,0.73609,0.77668,0.78315,0.30198,2.21514,0.95575,0.00394,0.000276686,0.000276686,0.000276686
